Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized)
p10077,-0.911738,-0.335571,-0.106973,0.897074,-0.514953,-0.690849,0.752118,-0.0567015
p10078,-2.06828,1.44625,3.79801,-0.46602,0.156357,0.857357,-0.217815,0.530449
p10079,0.387,-1.19876,-0.158273,0.0768545,-0.306748,-0.536857,-0.0354599,-0.377014
p1008,-0.774504,-0.350753,-0.00869146,0.475832,0.359614,0.104343,0.775924,0.0582128
p10080,0.555176,-0.708403,-0.169792,0.18753,0.570292,1.08784,0.671022,1.0404
p10081,1.52547,-0.730559,-0.597872,-0.0871461,0.644475,0.467818,0.0369244,0.0573649
p10082,0.0686697,-0.488497,-0.206858,0.0261573,-1.0694,-0.41213,-0.300439,0.422387
p10083,-0.313692,-0.162247,-0.937771,0.468926,0.23924,-0.159842,0.181473,-0.0395124
p10084,-1.61402,2.54855,3.78266,-2.67809,1.89128,-2.63107,-0.438723,-0.106153
p10085,-1.0699,-0.187123,-0.443041,0.428326,0.188219,-0.337808,-0.352764,0.0767757
p10086,0.533268,-0.048023,-0.0705721,-3.28743,-3.69306,0.169172,-2.2211,0.817541
p10087,1.12075,-1.35915,0.295365,0.274979,0.0990294,-0.604417,0.676045,0.504358
p10088,-0.925408,0.536393,-1.39188,0.402201,-0.0249686,-0.174792,-0.114429,-0.961209
p10089,-1.99776,0.373304,2.70691,-2.24407,-2.1926,0.413738,-0.409428,2.6213
p1009,-1.08801,-0.619638,0.708796,-0.0438747,-1.5917,-0.666497,-0.343552,0.477473
p10090,1.06918,0.157998,-0.722318,-0.178239,-1.2788,-0.464634,0.887495,-0.511578
p10091,1.49193,-0.846249,-0.166437,-0.446296,0.498137,0.730458,0.284642,-0.352319
p10092,-0.382109,-0.265842,-0.642164,-1.12648,-0.684461,0.479021,-0.750169,-0.241829
p10093,-0.910139,-0.60067,-0.0368968,0.844873,0.583911,0.38116,-0.059799,-0.996882
p10094,-0.390463,-0.61798,-0.194703,0.193929,-0.0508377,0.0834228,0.155137,-0.657476
p10095,-0.0172627,-0.531074,0.242079,-0.328851,0.0436587,0.541718,-0.869799,1.54793
p10096,2.2337,3.14334,-1.68789,-0.359067,0.130795,-3.69414,3.258,-0.760021
p10097,1.61307,-0.312744,-0.741415,-0.341354,-0.461152,0.131736,-0.665053,-1.20289
p10098,-0.0538796,-0.39135,-0.488703,1.27571,1.26603,0.412611,-0.170421,0.901142
p10099,-0.128795,-0.409335,-0.223814,-0.543973,0.416925,0.322772,0.32224,-0.590687
p101,-0.446872,0.118044,0.0888325,1.03015,-1.74928,-0.161757,-0.650428,0.324938
p1010,-0.121938,-0.447441,1.03951,-0.401976,-0.238661,0.340308,-1.4455,1.31031
p10100,0.0158553,0.0624643,-0.547648,-1.31078,-1.25085,0.269334,-0.457485,-0.624859
p10101,-0.213333,1.13307,-1.39318,-0.308105,-1.94418,-0.113347,1.26406,0.686026
p10102,1.79631,-0.534143,-0.426846,0.212999,0.0107132,-0.6324,0.608289,-0.217979
p10103,0.0921099,-0.923276,0.447092,0.108625,-0.389163,-0.706597,-0.178252,-0.827525
p10104,-0.32263,-0.749744,0.256183,-0.310038,-1.4843,-0.526257,0.165257,-0.648531
p10105,1.14842,1.84318,-1.31251,-4.16176,-1.34978,-1.96778,-1.61286,-3.16987
p10106,-0.210797,0.198621,-0.455659,0.16186,-1.93094,0.280274,0.793905,0.280579
p10107,-1.73079,1.80504,1.99118,-2.80211,1.21484,-2.04057,-1.36286,0.102755
p10108,-0.716457,-0.324956,0.379709,0.280902,0.281556,0.247232,-0.0829806,0.56018
p10109,0.56547,0.279458,-1.00283,-0.0456022,0.124967,0.772846,0.142556,0.148738
p1011,0.503794,-0.883517,0.449923,-0.685918,-0.882861,-1.07022,-0.527846,-0.0561438
p10110,-0.464174,-1.01525,0.0863454,0.0561588,0.00916805,-0.209654,0.0957099,0.0826847
p10111,1.43048,-1.16989,-0.0155964,0.0155937,-1.23721,-0.378529,0.610838,0.30754
p10112,0.192343,-0.653001,0.317364,-0.289143,0.406122,0.230384,0.0548055,-0.840992
p10113,1.30026,1.36617,0.916117,-3.77399,-1.89772,-1.99217,-1.76312,-0.509326
p10114,1.12385,-0.882406,1.53258,-1.89214,-0.771164,0.640261,1.4302,0.0804755
p10115,-0.583062,-0.120275,0.818796,0.546427,1.68934,-0.459071,-0.249287,1.1905
p10116,-0.338289,0.306993,-0.321849,0.206785,0.551668,-0.502989,0.520789,-0.483265
p10117,-0.835058,0.0793412,1.27108,-0.0744554,0.139175,-0.62854,-0.315398,1.34205
p10118,-0.296317,-0.858805,0.00725806,0.0900023,0.106481,0.538447,0.116465,-0.502955
p10119,-0.70537,-0.738381,0.49791,-0.681815,0.159085,-0.256657,-0.543912,0.29698
p1012,-0.319124,-0.570321,-0.264637,1.01112,0.183547,-0.0258404,0.457814,-0.92515
p10120,-1.82389,-0.245827,-0.131634,0.170253,0.11609,0.333873,0.368058,0.948425
p10121,1.83696,-0.830232,-0.0828316,-0.361068,-0.406596,0.647969,1.56629,0.557126
p10122,-1.83963,0.0275251,0.603021,0.317958,-0.323715,-1.62725,-0.298585,-0.183523
p10123,-1.11317,0.48184,-1.05545,-0.739745,-0.738841,-0.403954,1.10024,-0.155382
p10124,-0.762391,1.00384,-0.87117,-1.49264,-0.343201,-0.716082,-0.537303,-0.757096
p10125,0.657892,-0.248081,2.72494,-0.413692,-0.316028,0.895072,-0.276929,0.381566
p10126,-0.40769,-0.97494,0.131662,-0.193829,0.147727,-0.30381,-0.107224,0.369353
p10127,0.0422042,0.842797,-1.24274,-0.130825,-1.56283,0.139368,-1.15202,0.613343
p10128,-0.313266,0.277567,1.04125,-0.144591,-0.639611,1.09448,-1.03601,0.481801
p10129,0.200363,-0.864428,0.530676,-0.630802,0.679124,0.89236,0.0546585,-0.44143
p1013,0.81065,-0.252824,1.11395,-1.51117,0.324419,3.23722,0.751699,-1.0566
p10130,-0.445348,1.28265,0.515095,0.855276,-0.18672,2.61972,1.79148,-0.759887
p10131,-1.0028,0.77608,0.946047,0.0983134,0.761821,-0.440341,1.24047,0.963006
p10132,-0.999963,-0.164788,0.605787,0.484561,1.24432,-0.102342,-0.378694,0.942973
p10133,-0.120504,-0.883986,0.0911019,0.0977445,-0.294281,-0.577919,0.499286,0.101877
p10134,-0.317192,3.95879,0.72581,-1.74306,-0.461968,-1.76661,2.94337,0.293231
p10135,0.727842,-0.373466,-0.33628,0.696489,0.443533,-0.0432603,0.498307,1.04262
p10136,0.0749357,-0.542379,-0.154979,0.962356,-0.468237,0.351644,0.32737,0.908617
p10137,-0.331341,-0.959719,0.472883,1.2352,0.889881,-0.443984,0.35374,-0.267535
p10138,-0.440071,-0.694289,-0.216673,-0.0911274,0.068067,0.213138,-0.250953,-0.391782
p10139,0.113429,-0.494405,-0.619187,-0.230363,-0.0544522,0.376986,0.172247,-0.19979
p1014,0.195533,-0.414184,-0.176638,-0.0956876,0.766894,-0.260587,0.574878,0.0372627
p10140,-0.752863,-0.623867,0.109645,1.71201,-0.715599,-1.70154,-0.0140183,1.01861
p10141,0.472074,-0.463023,1.71366,0.731164,0.195847,0.846873,-0.252962,-0.492074
p10142,-0.625853,-0.769442,-0.142244,0.111193,0.0821316,0.0599122,-0.192994,-0.694161
p10143,-0.168461,-0.706306,0.413027,-0.333215,0.954847,0.366198,0.235697,-0.928536
p10144,0.76416,0.880313,-1.16218,-0.471373,0.728293,-1.09153,-0.938121,-0.0782785
p10145,0.806022,-0.357996,0.159008,1.57268,-0.677124,-0.817502,-0.673399,-1.24109
p10146,1.27709,0.837714,-1.12692,0.662032,0.368539,-2.28112,1.2816,-1.60012
p10147,0.253114,0.562916,-1.3707,0.336431,0.976643,-0.208848,-0.165865,-1.47487
p10148,-0.377391,-0.0544213,-0.377552,-0.6802,0.604283,-0.828006,-0.773102,0.289603
p10149,-0.963152,0.915449,-0.0711633,0.675009,-2.45694,-1.53625,-1.67952,-1.23485
p1015,0.610348,-0.22421,1.46022,1.80741,0.357173,1.10155,-0.819447,-1.37504
p10150,1.28362,-0.859519,0.380354,-0.646773,-0.649131,0.111523,-0.658224,-0.777135
p10151,0.962713,0.0982062,-0.784993,-0.18592,0.526438,1.19518,0.52024,-0.971025
p10152,0.75617,-0.737251,0.824534,-1.29941,-0.213126,0.718518,0.420776,-0.421869
p10153,1.30633,0.168835,-0.0276791,2.47345,0.0500659,0.950955,-0.76913,-1.66458
p10154,0.49582,0.878398,-1.59751,-0.191348,-0.318116,1.00259,0.324595,1.29784
p10155,0.409633,-1.09141,0.658514,0.504812,-0.251982,-0.789919,-0.328447,0.595813
p10156,0.520258,0.0179384,-0.808673,-0.527136,1.35755,0.37932,-0.182935,0.275582
p10157,0.900273,-0.993766,0.13361,-0.551255,-0.55618,-0.0109839,0.031422,-0.0514735
p10158,0.477904,0.145759,1.99777,-0.134789,1.24365,-0.0219846,1.13517,0.382206
p10159,4.09159,0.968356,-0.916651,0.382345,-4.37633,-2.04684,0.372365,0.0974907
p1016,-0.69068,-0.631901,-0.0517131,0.375174,0.00105317,0.0331315,-0.504147,0.824176
p10160,0.262626,0.250568,0.662493,-1.77233,0.343513,0.663936,-2.29607,0.438348
p10161,-1.53687,-0.396081,-0.200956,0.305911,-0.283643,-0.636111,-0.586342,-0.234038
p10162,-0.619828,-0.654826,-0.367783,0.703013,0.262866,0.0624117,0.449871,-0.394891
p10163,-0.987387,-0.149988,-0.550549,0.302357,0.334692,0.0761209,0.386069,-0.182821
p10164,1.0492,-0.0890836,2.57274,-0.452628,0.827538,1.2514,1.93666,0.369001
p10165,0.323155,-0.039106,-0.269063,0.232811,-1.26664,0.679477,-0.334812,-0.718209
p10166,-0.284928,-0.970205,0.0344132,-0.122615,-0.102264,0.385591,0.42967,0.142673
p10167,-1.2906,-0.30541,-0.211869,-0.000467525,0.693382,0.193773,-0.816448,0.613479
p10168,1.0567,1.6137,-3.16286,-0.216045,0.334962,0.352881,0.841076,0.0458824
p10169,-0.542063,0.151097,-0.581185,-0.456006,-0.49857,0.479195,-0.710298,-0.334528
p1017,-0.970668,-0.392598,0.558529,0.732236,-0.263267,0.23062,0.243991,-0.194653
p10170,-0.414599,-0.809986,0.622472,-0.159473,0.166843,0.76746,0.730362,-0.203771
p10171,1.53203,-0.773302,0.016839,-1.04543,0.0544282,0.470837,-0.0370438,-0.350854
p10172,-3.24784,0.47914,0.182856,-0.0406196,-0.309894,-0.735632,-0.178403,0.675132
p10173,-0.382276,0.428469,-1.2755,-0.343674,0.13393,1.25283,0.125692,0.843213
p10174,-0.0228398,-0.753015,-0.168514,-1.00286,-0.790041,-0.451203,0.0294815,0.905551
p10175,2.36396,0.828289,5.07095,-2.55128,2.91995,-0.963604,1.20227,2.04137
